LANG_KEY|LANG_1|LANG_2
Learning Outcome Mapping|ربط مخرجات التعلم|Learning Outcome Mapping
Learning Outcome Target has been set successfully|تم حفظ هدف مخرج التعلم بنجاح|Learning Outcome Target has been set successfully
Learning Outcomes|مخرجات التعلم|Learning Outcomes
Learning Outcomes defined in|مخرجات التعلم معرّفة في|Learning Outcomes defined in
Learning Outcomes Indirect Assessment Dashboard|لوحة القيادة للتقييم غير المباشر لمخرجات التعلم|Learning Outcomes Indirect Assessment Dashboard
Learning Outcomes Scores|نتائج مخرجات التعلم|Learning Outcomes Scores
Lecture Note|ملاحظات المحاضر|Lecture Note
Lecture time|وقت المحاضرة|Lecture time
Legend|مسمى توضيحي|Legend
Legends|المسميات التوضيحية|Legends
Less|أقل|Less
Level|المستوى|Level
Level Color|لون المستوى|Level Color
Level Description|وصف المستوى|Level Description
Level Label|تسمية مستوى المقياس|Scale Level Label
Level of Study|مستوى الدراسة|Level of Study
Level Settings|اعدادات المقياس|Scale Settings
Level Title|عنوان المستوى|Level Title
Levels|المستويات|Levels
Levels saved successfully|تم حفظ المستويات بنجاح|Levels saved successfully
License Info|معلومات الرخصة|License Info
Link|الرابط|Link
Linkedin|لينكدان|LinkedIn
Links|الروابط|Links
List of Previous student projects|لائحة مشاريع الطالب السابقة|List of Previous student projects
Little contribution|مساهمة قليلة|Little contribution
Little Initiative|مبادرات قليلة|Little Initiative
Little participation|مشاركة قليلة|Little participation
Loading|قيد التحميل|Loading
Location|الموقع|Location
Log|السجل|Log
Log Out|تسجيل الخروج|Log Out
Logged Successfully|تم الدخول بنجاح|Logged Successfully
Login as|الدخول ك|Login as
Logs|السجلات|Logs
Low Performance|أداء ضعيف|Low Performance
Main|الرئيسي|Main
Major|التخصص|Major
Major Strategies|استراتيجيات التخصص|Major Strategies
Major Strategy|استراتيجية التخصص|Major Strategy
Majors|التخصصات|Majors
Male Faculty Members|أعضاء الهيئة التدريسية الذكور|Male Faculty Members
Manage|إدارة|Manage
Management|إدارة|Management
Manual|دليل المستخدم|Manual
Manuals|أدلة المستخدم|Manuals
Map the PLO with Survey|ربط مخرجات التعلم للبرنامج مع استبيان|Map the PLO with Survey
Mapping|ربط|Mapping
Mapping Matrix|مصفوفة الربط|Mapping Matrix
Material Description|وصف المادة|Material Description
Material Title|عنوان المادة|Material Title
Material Type|نوع المادة|Material Type
Material Value|قيمة المادة|Material Value
Mean Score|معنى النقاط|Mean Score
Means|المعنى|Means
Measurable Objective|الغايات القياسية|Measurable Objective
Measure|القياس|Measure
Measure has Entered|قياس تم إدخاله|Measure has Entered
Member|الأعضاء|Member
Members|الأعضاء|Members
Membership|العضوية|Membership
Message|رسالة|Message
Milestone|معلم|Milestone
Minimal contribution|الحد الأدنى للمساهمة|Minimal contribution
minimal Initiative|الحد الأدنى للمبادرات|minimal Initiative
Minimal participation|الحد الأدنى للمشاركة|Minimal participation
Missed Assignment|التغيب عن الوظائف|Missed Assignment
Missed Assignment Policies|سياسات التغيب عن الوظيفة|Missed Assignment Policies
Missed Exam|التغيب عن الامتحان|Missed Exam
Missed Exam Policies|سياسات التغيب عن الإمتحان|Missed Exam Policies
Mission|رؤية|Mission
Mission Successfully Saved|تم حفظ الرؤية بنجاح|Mission Successfully Saved
Mobile No.|رقم الهاتف|Mobile No.
Month|شهر|Month
Months|أشهر|months
Moral Value|قيمة أخلاقية|Moral Value
More|المزيد|More
More Inputs|المزيد من المدخلات|More Inputs
More Notifications|جميع الإشعارات|More Notifications
More Response|جميع الاستجابات|More Response
Move|نقل|Move
Move Here|انقل هنا|Move Here
Must Be Greater than 0|يجب أن يكون أعلى من 0|Must Be Greater than 0
Must Be less than 100|يجب أن يكون أقل من 100|Must Be less than 100
Must Be Real Number|يجب أن يكون رقم|Must Be Real Number
Must select Type|يجب اختيار نوع|Must select Type
My files|ملفاتي|My files
My Groups|مجموعاتي|My Groups
My Portfolio|ملفي الشخصي|My Portfolio
My Tasks|المهام الخاصة بي|My Tasks
N/A|غير قابل للتطبيق|N/A
Name|الاسم|Name
Name is Required|الاسم مطلوب|Name is Required
National|وطني|National
National Accreditation|إعتماد وطني|National Accreditation
Nationality|الجنسية|Nationality
NCAAA|NCAAA|NCAAA
NCAAA Domain|مجال NCAAA|NCAAA Domain
NCAAA KPI|مؤشر أداء خاص ب NCAAA|NCAAA KPI
NCAAA KPI?|مؤشر أداء NCAAA ؟|NCAAA KPI?
NCAAA KPIs|مؤشرات الأداء الخاصة ب NCAAA|NCAAA KPIs
NCAAA out of All|جميع NCAAA|NCAAA out of All
NCAAA Outcomes|مخرجات NCAAA|NCAAA Outcomes
NCAAA Student Outcomes|مخرجات الطالب NCAAA|NCAAA Student Outcomes
Negative|سالب|Negative
New|جديد|New
New Action Plan|خطة عمل جديدة|New Action Plan
New Benchmark|مؤشر جديد|New Benchmark
New Email|بريد إلكتروني جديد|New Email
New Group|مجموعة جديدة|New Group
New Material|مادة جديدة|New Material
New Measure|مقياس جديد|New Measure
New Password|كلمة السر الجديدة|New Password
New Question|سؤال جديد|New Question
New Works|أعمال جديدة|New Works
next|التالي|Next
Next step|الخطوة التالية|Next Step
No|لا|No
No activities, Check projects dashboard|لا يوجد نشاطات، تفقد لوحة القيادة الخاصة بمشروعك|No activities, Check projects dashboard
No Changes|لا يوجد تعديلات|No Changes
No contribution|لا يوجد مساهمات|No contribution
No CS or CR done|لا يوجد CS أو CR تم الإنتهاء منها|No CS or CR done
No Custom Items|لا يوجد عناصر مخصصة|No Custom Items
No data|لا يوجد بيانات|No Data
No Goals|لا يوجد أهداف|No Goals
No goals to be integrated|لا يوجد أهداف ليتم ربطها|No Goals to be Integrated
graph to be displayed|أهداف ليتم عرضها|Graph to be Displayed
No Groups|لا يوجد مجموعات|No Groups
No Initiative|لا يوجد مبادرات|No Initiative
No KPIs|لا يوجد مؤشرات أداء|No KPIs
No KPIs to be display for this KPI type.|لا يوجد مؤشرات أداء يمكن إظهارها لهذا النوع من مؤشرات الأداء|No KPIs to be display for this KPI type.
No KPIs to be displayed|لا يوجد مؤشرات أداء رئيسية ليتم عرضها|No KPIs to be Displayed
No Messages|لا يوجد رسائل|No Messages
No Notification|لا يوجد إشعار|No Notification
No Objectives found.|لم يتم العثور على الغايات|No Objectives found.
No objectives to be integrated|لا يوجد غايات ليتم ربطها|No Objectives to be integrated
No participation|لا يوجد  مشاركة|No participation
No Pending Surveys|لا يوجد استبيانات معلقة|No Pending Surveys
No Permission|لا يوجد صلاحية|No Permission
No Permissions|لا يوجد صلاحيات|No Permissions
No program selected|لم يتم اختيار برنامج|No program selected
No recommendations to be displayed|لا يوجد توصيات ليتم عرضها|No recommendations to be displayed
No related program plan|لا يوجد خطة برنامج لها علاقة|No related program plan
No results found for|لا يوجد نتائج|No results found for
No Reviews|لا يوجد مراجعات|No Reviews
No Semesters|لا يوجد فصول دراسية|No Semesters
No Strategy Found, Please build a strategy|لا يوجد استراتيجية، يرجى القيام ببناء استراتيجية|No Strategy Found, Please build a strategy
No Strategy on this semester|لا يوجد تخطيط استراتيجي لهذا الفصل|No Strategy on this semester
No Values|لا يوجد قيمة|No Values
No values to be displayed|قيم ليتم عرضها|No values to be displayed
No. of Courses|عدد المواد الدراسية|No. of Courses
No. Of KPIs|عدد مؤشرات الأداء|No. Of KPIs
Non-NCAAA KPI|مؤشر أداء غير NCAAA|Non-NCAAA KPI
Not Applicable|غير قابل للتطبيق|Not Applicable
Not Completed|لم ينته|Not Completed
Not Compliant|غير متوافق|Not Compliant
Not Defined|غير موجود|Not Defined
Not Reported|لم يبلغ عنها|Not Reported
Not Selected|غير مختارة|Not Selected
Not Specified|غير محدد|Not Specified
Not Started|لم يبدأ|Not Started
Not Submitted|لم يتم التسليم|Not Submitted
Note|ملاحظة|Note
Notice|تنويه|Notice
Notification|إشعار|Notification
Notification Before|الاشعار قبل|Notification Before
Notification Name|اسم الإشعار|Notification Name
Notification Settings|إعدادات الإشعارات|Notification Settings
Notification settings saved successfully|تم حفظ إعدادات الاشعارات بنجاح|Notification Settings Saved Successfully
Notification Subject|موضوع الإشعار|Notification Subject
Notifications|الإشعارات|Notifications
Notifications List|لائحة الإشعارات|Notifications List
Number of Colleges|عدد الكليات|Number of Colleges
Number of faculty|عدد أعضاء هيئة التدريس|Number of faculty
Number Of Hours|عدد الساعات|Number Of Hours
Number of Levels|عدد المستويات في المقياس|Number of Levels in the Scale
Number of levels has not been added|لم يتم إضافة عدد المستويات|Number of levels has not been added
Number of Programs|عدد البرامج|Number of Programs
Number Of Sections|عدد الشعب|Number of sections
Number Of Students|عدد الطلاب|Number of Students
Number of Years|عدد السنوات|Number of Years
Objective|غاية|Objective
Objective KPIs|غاية مؤشرات الأداء الرئيسية|Objective KPIs
Objective Milestone|معلم الغاية|Objective Milestone
Objective Milestone Successfully Saved|تم حفظ معلم الغاية بنجاح|Objective Milestone Successfully Saved
Objective not found|لم يتم العثور على الغاية|Objective not found
Objective removed successfully|تم حذف الغاية بنجاح|Objective removed successfully
Objective Successfully Saved|تم حفظ الغاية بنجاح|Objective Successfully Saved
Objective Title|عنوان الغاية|Objective Title
Objective with Aligned to Institutional Objective|الغايات ومحاذاتها لمهام المؤسسة|Objective with Aligned to Institutional Objective
Objectives|الغايات|Objectives
Objectives Result|نتائج الغايات|Objectives Result
observation|ملاحظة|Observation
of Reviewers|من المراجعين|of Reviewers
of Students|من الطلاب|of Students
Offered Program|البرنامج المقدّم|Offered Program
Office Hours|الساعات المكتبية|Office hours
Office Location|موقع المكتب|Office Location
Office No|رقم المكتب|Office No
Office Number|رقم المكتب|Office Number
Old|قديم|Old
Old Password|كلمة السر القديمة|Old Password
old password is incorrect|كلمة السر القديمة غير صحيحة|Old password is incorrect
Only integer value is allowed|فقط الأرقام الصحيحة مسموحة|Only integer value is allowed
optional|خياري|optional
Oral|شفهي|Oral
Organization|التنظيم|Organization
Organization Chart|مخطط تنظيمي|Organization Chart
Original Language|اللغة الأصلية|Original Language
Original Researcher|الباحثين الأصليين|Original Researcher
Original Type|النوع الأصلي|Original Type
Other supporting author|دعم المؤلف الأخرى|Other supporting author
Others|أخرى|Others
Outcome|المخرج|Outcome
Outcomes|المخرجات|Outcomes
Outcomes Results|نتائج المخرجات|Outcomes Results
Overall|الجميع|Overall
Overall allowed|مسموح كلياً|Overall allowed
Overall Band Performance|أداء الفرقة العام|Overall Band Performance
Overall Band Performance based on SLOs|أداء الفرقة العام المعتمد على مخرجات التعلم للطلاب|Overall Band Performance based on SLOs
Overall developmental action plan for academic year|خطة العمل التنموية العامة للسنة الدراسية|Overall developmental action plan for academic year
Overall Evaluation|التقييم العام|Overall Evaluation
Overall Faculty Performance|أداء عضو الهيئة التدريسية العام|overall faculty performance
Overall Mean Avg. Score|المعنى العام لمعدل النقاط|Overall Mean Avg. Score
Overall Performance Band|أداء الفرق العام|Overall Performance Band
Overall Weighted Score|النتيجة المرجحة الكلية|Overall Weighted Score
Owner Name|اسم المنشئ|Owner Name
Package|المحفظة|Package
Page|صفحة|Page
Page Count|عدد الصفحة|Page Count
Page From|صفحة من|Page From
Page To|صفحة إلى|Page To
Pages Count|عدد الصفحات|Pages Count
Paper In Progress|ورق في تقدم|Paper In Progress
Paper Status|حالة الورقة|Paper Status
Parameter|متغير|Parameter
Params|المتغيرات|Params
Parent Goal|الهدف الرئيسي|Parent Goal
Parent Objective|المهام الرئيسية|Parent Objective
Parent Project|المشروع الرئيسي|Parent Project
Parent Unit|الوحدة الرئيسية|Parent Unit
Participation|مشاركة|Participation
Participation Type|نوع المشاركة|Participation Type
Partly Compliant|متوافق جزئي|Partly Compliant
Party|حفل|Party
Password|كلمة السر|Password
Password Changed Successfully|تم تغيير كلمة السر بنجاح|Password Changed Successfully
Password has been Successfully Changed|تم تغيير كلمة السر بنجاح|Password has been Successfully Changed
Password Must Be Between 6 and 20 Digits|كلمة السر يجب أن تتراوح بي 6-20 خانة|Password Must Be Between 6 and 20 Digits
Password reset|إعادة تعيين كلمة السر|Password reset
Passwords not Matched|كلمات السر لم تتطابق|Passwords not Matched
Paste Here|الصق هنا|Paste Here
Path|مسار|Path
pdf|PDF|PDF
Peer|نظير|Peer
per accreditation statuses|في حالات الاعتماد|per accreditation statuses
Percentage|نسبة|Percentage
Performance|الأداء|Performance
Performance Achievement|إنجاز الأداء الأداء|Performance Achievement
Performance Achievement for academic year|إنجاز الأداء للسنة الأكاديمية|Performance Achievement for academic year
Permission Denied|لا تملك الصلاحية|Permission Denied
Permissions Denied|لا تملك الصلاحيات|Permissions Denied
Personal|شخصي|Personal
Personal Email|البريد الإلكتروني الشخصي|Personal Email
Personal Info|البيانات الشخصية|Personal Info
Personal Information|البيانات الشخصية|Personal Information
Perspectives|وجهات النظر|Perspectives
Perspectives Legends|المسميات التوضيحية لوجهات النظر|Perspectives Legends
PhD Holder|حاملي شهادة الدكتوراة|PhD Holder
Phone|الهاتف|Phone
Phone Number|رقم الهاتف|Phone Number
Placeholders|الرموز|Placeholders
Plan|خطة|Plan
Please add at least one assessment component|يرجى إدخال عنصر تقييم واحد على الأقل|Please add at least one assessment component
Please add at least one learning outcome|يرجى إضافة مخرج تعلم واحد على الأقل|Please add at least one learning outcome
Please Add your options Separated by comma|يرجى إضافة الخيارات الخاصة بك وبينها فاصلة " ، "|Please Add your options Separated by comma
Please Check Due Date|يرجى التحقق من موعد التسليم|Please Check Due Date
Please choice available status|يرجى اختيار حالة متاحة|Please choice available status
Please choose KPI Category / No KPIs found.|يرجى اختيار فئة مؤشرات الأداء / لم يتم العثور على مؤشرات أداء|Please choose KPI Category / No KPIs found.
Please Choose One Of Assessment Loop Type|يرجى اختيار أحد أنواع دائرة التقييم|Please Choose One Of Assessment Loop Type
Please choose Program / No Course Learning Outcome found.|يرجى اختيار برنامج / لم يتم العثور على مخرجات التعلم للمادة الدراسية|Please choose Program / No Course Learning Outcome found.
Please choose Program / No Program Learning Outcome found.|يرجى اختيار برنامج / لم يتم العثور على مخرجات التعلم للبرنامج|Please choose Program / No Program Learning Outcome found.
Please choose the review status|يرجى اختيار حالة المراجعة|Please choose the review status
Please click on survey to fill your survey|يرجى النقر على "استبيان" لتبعئة الاستبيان الخاص بك|Please click on survey to fill your survey
Please Contact College / Program Admin|يرجى التواصل مع مشرف الكلية / البرنامج|Please Contact College / Program Admin
Please enter |يرجى إدخال|Please enter
Please Enter a Comment.|يرجى إدخال تعليق|Please Enter a Comment.
Please Enter a Due Date For This Form |يرجى إدخال موعد تسليم لهذا النموذج|Please Enter a Due Date For This Form
Please Enter Accredited Years|يرجى إدخال عدد سنوات الإعتماد|Please Enter Accredited Years
Please Enter Action|يرجى إدخال إجراء|Please Enter Action
Please enter Additions and Revisions|يرجى إخال اﻹضافات والمراجعات|Please enter Additions and Revisions
Please Enter Agency Name|يرجى إدخال اسم الهيئة|Please Enter Agency Name
Please Enter Analysis|يرجى إدخال التحليل|Please Enter Analysis
Please enter assessment method Title|يرجى إدخال عنوان طريقة التقييم|Please enter assessment method Title
Please Enter Campus Name|يرجى إدخال اسم الفرع الجامعي|Please Enter Campus Name
Please enter College Mission Keyword |يرجى إدخال الكلمة المفتاحية للكلية|Please enter College Mission Keyword
Please Enter College Name|يرجى إدخال اسم الكلية|Please Enter College Name
Please Enter Course Code|يرجى إدخال رمز المادة الدراسية|Please Enter Course Code
Please Enter Course Name|يرجى إدخال اسم المادة الدراسية|Please Enter Course Name
Please Enter Course Type|يرجى إدخال نوع المادة الدراسية|Please Enter Course Type
Please Enter Criteria Code|يرجى ادخال رمز المقياس|Please Enter Criteria Code
Please Enter Criteria Title|يرجى ادخال عنوان المقياس|Please Enter Criteria Title
Please Enter Degree Name|يرجى إدخال اسم الدرجة العلمية|Please Enter Degree Name
Please Enter Department Name|يرجى إدخال اسم القسم|Please Enter Department Name
Please enter Description|يرجى إدخال الوصف|Please enter Description
Please Enter end Date|يرجى إدخال تاريخ الإنتهاء|Please Enter end date
Please enter File Title|يرجى إدخال اسم الملف|Please enter File Title
Please Enter Institution Name|يرجى إدخال اسم المؤسسة|Please Enter Institution Name
Please Enter Item Code|يرجى ادخال رمز العنصر|Please Enter Item Code
Please Enter Item Title|يرجى ادخال عنوان العنصر|Please Enter Item Title
Please Enter Kind|يرجى اختيار النوع|Please Enter Kind
Please enter learning domain Title|يرجى إدخال عنوان مجال التعلم|Please enter learning domain Title
Please Enter Major Name|يرجى إدخال اسم التخصص|Please Enter Major Name
Please Enter Manual Label|يرجى إدخال تسمية دليل المستخدم|Please Enter Manual Label
Please Enter Manual Link|يرجى إدخال رابط دليل المستخدم|Please Enter Manual Link
Please Enter Measure Text|يرجى إدخال نص المقياس|Please Enter Measure Text
Please Enter name|يرجى إدخال الاسم|Please Enter name
Please Enter Notification Before|يرجى إدخال وقت ارسال الإشعار|Please Enter Notification Before
Please Enter Notification Body|يرجى إدخال نص الإشعار|Please Enter Notification Body
Please Enter Notification Name|يرجى إدخال اسم الإشعار|Please Enter Notification Name
Please Enter Notification Subject|يرجى إدخال عنوان الإشعار|Please Enter Notification Subject
Please enter options|يرجى إدخال الخيارات|Please Enter Options
Please enter Program Mission Keyword|يرجى إدخال الكلمة المفتاحية للبرنامج|Please enter Program Mission Keyword
Please Enter Program Name|يرجى إدخال اسم البرنامج|Please Enter Program Name
Please Enter Recommendation Text|يرجى إدخال نص التوصية|Please Enter Recommendation Text
Please Enter responsible|يرجى إدخال الشخص المسؤول|Please Enter responsible
Please Enter Result Text|يرجى إدخال نص النتيجة|Please Enter Result Text
Please Enter Search Text|يرجى إدخال نص البحث|Please Enter Search Text
Please Enter Section No.|يرجى إدخال رقم الشعبة|Please Enter Section No.
Please Enter Standard Code|يرجى ادخال رمز المعيار|Please Enter Standard Code
Please Enter Standard Name|يرجى إدخال اسم المعيار|Please Enter Standard Name
Please Enter start Date|يرجى إدخال تاريخ البدء|Please Enter start date
Please Enter Student Status Name|يرجى إدخال اسم حالة الطالب|Please Enter Student Status Name
Please Enter Subject|يرجى اختيار عنوان للرسالة|Please Enter Subject
Please enter Text|يرجى إدخال النص|Please enter Text
Please enter the key performance indicator or this is a duplicate KPI and strategy entry.|يرجى إدخال مؤشر أداء رئيسي أم أنه تكرار لمؤشر أداء آخر وإدخال الاستراتيجية|Please Enter the Key Performance Indicator or This is a Duplicate KPI and Strategy entry.
Please Enter Time Frame|يرجى إدخال المدة الزمنية|Please Enter Time Frame
Please enter Title|يرجى إدخال العنوان|Please enter Title
Please enter Type|يرجى إدخال النوع|Please enter Type
Please Enter Unit Name|يرجى إدخال اسم الوحدة|Please Enter Unit Name
Please enter University Mission Keyword|يرجى إدخال الكملة المفتاحية للجامعة|Please enter University Mission Keyword
Please Enter Valid Kind|يرجى اختيار نوع صحيح|Please Enter Valid Kind
Please enter your options separated by comma|يرجى إدخال الخيارات الخاصة بك وبينها فاصلة " ، "|Please enter your options separated by comma
Please Enter Your Password|يرجى إدخال كلمة السر|Please Enter Your Password
Please fill description field|يرجى تعبئة الحقل الخاص بالوصف|Please Fill Description Field
Please fill progress field|يرجى تعبئة الحقل الخاص بالتقدم|Please Fill Progress Field
Please Select  Employer|يرجى اختيار موظف|Please Select  Employer
Please Select a Course!|يرجى اختيار مادة دراسية|Please Select a Course!
Please Select a Student!|يرجى اختيار طالب|Please Select a Student!
Please select a valid type|يرجى اختيار نوع متاح|Please select a valid type
Please select Agency|يرجى اختيار هيئة|Please select Agency
Please select an Assessment Method from left list|يرجى اختيار طريقة تقييم من اللائحة|Please select an Assessment Method from left list
Please Select Assessment Method|يرجى اختيار طريقة تقييم|Please Select Assessment Method
Please Select at Least one Form.|يرجى اختيار نموذج واحد على الأقل|Please Select at Least one Form.
Please Select at lest one Teacher|يرجى اختيار مدرس واحد على الأقل|Please Select at lest one Teacher
Please Select Campus|يرجى اختيار فرع الجامعة|Please Select Campus
Please Select College|يرجى اختيار كلية|Please Select College
Please Select Course|يرجى اختيار مادة دراسية|Please Select Course
Please Select Criteria|يرجى اختيار قياس|Please Select Criteria
Please select date|يرجى اختيار تاريخ|Please Select Date
Please select Dean|يرجى اختيار عميد|Please Select Dean
Please Select Degree|يرجى اختيار درجة علمية|Please Select Degree
Please Select Department|يرجى اختيار قسم|Please Select Department
Please select due date|يرجى اختيار موعد الانتهاء|Please Select Due Date
Please Select Field Type|يرجى اختيار نوع الحقل|Please Select Field Type
Please Select Form|يرجى اختيار نموذج|Please Select Form
Please Select Level|يرجى اختيار مستوى|Please Select Level
Please select Manuals|يرجى اختيار دليل|Please select Manuals
Please Select Material Type|يرجى اختيار نوع المادة|Please Select Material Type
Please select NCAAA learning domain|يرجى اختيار إحدى مجالات التعلم الخاصة ب NCAAA|Please select NCAAA learning domain
Please Select on Of the Forms type to show the forms|يرجى اختيار نوع النموذج لتظهر النماذج الخاصة بهذا النوع|Please Select one Of the Forms Type to Show the Forms
Please Select Program|يرجى اختيار برنامج|Please Select Program
Please select Program chair|يرجى اختيار رئيس البرنامج|Please select Program chair
Please select Projects|يرجى اختيار المشاريع|Please select Projects
Please Select Question Type|يرجى اختيار نوع السؤال|Please Select Question Type
Please select responsible|يرجى اختيار المسؤول|Please select responsible
Please select Reviewer|يرجى اختيار المراجع|Please select Reviewer
Please Select Role|يرجى اختيار مسمى وظيفي|Please Select Role
Please Select Semester|يرجى اختيار فصل دراسي|Please Select Semester
Please Select Standard|يرجى اختيار معيار|Please Select Standard
Please select Status|يرجى اختيار حالة|Please select Status
Please Select Survey|يرجى اختيار استبيان|Please Select Survey
Please Select Teacher|يرجى اختيار مدرس|Please Select Teacher
Please select the major strategy or this is a duplicate KPI and strategy entry.|يرجى اختيار الخطة الاستراتيجية الرئيسية  أم أنها تكرار لمؤشر أداء آخر وإدخال الاستراتيجية|Please Select the Major Strategy or this is a Duplicate KPI and Strategy Entry.
Please Select the Unit Type|يرجى اختيار نوع الوحدة|Please Select the Unit Type
Please Select User|يرجى اختيار مستخدم|Please Select User
Please Select Year|يرجى اختيار سنة|Please Select Year
Please specify at least one recipient.|يرحى تحديد مستقبل واحد على الأقل|Please specify at least one recipient.
Please Try Again|يرجى المحاولة مرة أخرى|Please Try Again
PLO |مخرجات التعلم للبرنامج|PLO
PLO Result|نتائج مخرجات التعلم للبرنامج|PLO Result
PLO to NCAAA|مخرجات التعلم مع NCAAA|PLO to NCAAA
PLO to Program Objectives|مخرجات التعلم للبرنامج مع رؤية البرنامج|PLO to Program Objectives
Points|النقاط|points
Polarity|القطبية|Polarity
Poor Performance|أداء سيء|Poor Performance
Portfolio|الملف|Portfolio
Portfolio Course|ملف المواد الدراسية|Course Portfolio
Portfolios|الملفات|Portfolios
Position|الموقع|Position
Positive|موجب|Positive
Postgraduate|دراسات عليا|Postgraduate
Practical|عملي|practical
Pre-Visit Reviewer|مراجع قبل الزيارة|Pre-Visit Reviewer
Preparatory Year|السنة التحضيرية|Preparatory Year
Preparatory Year Report|تقرير السنة التحضيرية|Preparatory Year Report
Preview|عرض|Preview
Preview Evaluation|عرض التقييم|Preview Evaluation
Preview Survey|عرض الاستبيان|Preview Survey
previous|السابق|Previous
print|طباعة|Print
Print Survey|طباعة الاستبيان|Print Survey
Process based|استناد العملية|Process Based
Process Or Result|التقدم أو النتائج|Process Or Result
Proficiency|البراعة|Proficiency
Profile|الملف الشخصي|Profile
Program|برنامج|Program
Program & Institution Criteria|مقياس المؤسسة والبرنامج|Program & Institution Criteria
Program Agencies|هيئات البرامج|Program Agencies
Program Assessment Component|محتوى تقييم البرنامج|Program Assessment Component
Program Assessment Method|طرق التقييم للبرنامج|Program Assessment Method
Program by Level Enrolled|البرنامج من مستوى المقيدين|Program by Level Enrolled
Program Chair|رئيس البرنامج|Program Chair
Program Criteria|مقياس البرنامج|Program Criteria
Program Faculty Profile|ملف عضو هيئة البرنامج|Program Faculty Profile
Program Goals|أهداف البرنامج|Program Goals
Program Graduates & Enrolled|خريجي البرنامج والمقيدين|Program Graduates & Enrolled
Program Keyword|الكلمة المفتاحية للبرنامج|Program Keyword
Program Learning Domain|مجال التعلم للبرنامج|Program Learning Domain
Program Learning Outcome|مخرج تعلم البرنامج|Program Learning Outcome
Program Learning Outcome Mapped to Survey|مخرجات التعلم للبرنامج المرتبطة باستبيان|Program Learning Outcome Mapped to Survey
program learning outcome PLOs to be displayed.|مخرجات تعلم للبرنامج ليتم عرضها|program learning outcome PLOs to be displayed.
Program Learning Outcomes|مخرجات التعلم للبرنامج|Program Learning Outcomes
Program Linked to this course|برنامج مرتبط مع هذه المادة الدراسية|Program Linked to this course
Program Management|إدارة البرنامج|Program Management
Program Management has not been created!|لم يتم إنشاء إدارة البرنامج|Program Management has not been created!
Program Mapping Matrix|مصفوفة ربط البرنامج|Program Mapping Matrix
Program Mission|رؤية البرنامج|Program Mission
Program mission keyword|الكلمة المفتاحية لرؤية البرنامج|Program mission keyword
Program Mission Keywords|الكلمات المفتاحية لرؤية البرنامج|Program Mission Keywords
program mission Keywords to be displayed.|كلمات مفتاحية للبرنامج ليتم عرضها|program mission Keywords to be displayed.
Program Mission to Program Objectives|رؤية البرنامج مع مهام البرنامج|Program Mission to Program Objectives
Program Name|اسم البرنامج|Program Name
program objactives to be displayed.|غايات البرنامج ليتم عرضها|program objactives to be displayed.
Program Objective |غاية البرنامج|Program Objective
Program Objective Keywords|الكلمات المفتاحية لغاية البرنامج|Program Objective Keywords
program objective keywords to be displayed.|الكلمة المفتاحية لغاية البرنامج ليتم عرضها|program objective keywords to be displayed.
program objective to be displayed.|غاية البرنامج ليتم عرضها|program objective to be displayed.
Program Objectives|غايات البرنامج|Program Objectives
program objectives to be displayed.|غايات البرنامج ليتم عرضها|program objectives to be displayed.
Program Outcome|مخرجات البرنامج|Program Outcome
Program performance|أداء البرنامج|Program Performance
Program Plan|خطة البرنامج|Program Plan
Program Report|تقرير البرنامج|Program Report
Program Report Cover|غلاف تقرير البرنامج|Program Report Cover
Program Specification and Report|مواصفات وتقارير البرنامج|Program Specification and Report
Program Specification Cover|غلاف خصائص البرنامج|Program Specification Cover
Program Specifications and Report|مواصفات وتقارير البرنامج|Program Specifications and Report
Program Specifications and Reports|مواصفات وتقارير البرنامج|Program Specifications and Reports
Program Tree|شجرة البرامج|Program Tree
Program Tree Chart|مخطط شجرة البرنامج|Program Tree Chart
Programmatic|برامجي|Programmatic
Programs|البرامج|Programs
Programs Accreditation|إعتماد البرامج|Programs Accreditation
programs in|برنامج في|programs in
Programs of|برامج|Programs of
Progress|التقدم|Progress
Progress must be equal or greater than zero|يجب أن تكون قيمة التقدم مساوية أو أكبر من 0|Progress must be Equal or Greater than 0
Progress must be equal or less than 100|يجب أن تكون قيمة التقدم مساوية أو أقل من 100|Progress must be Equal or Less than 100
Project|مشروع|Project
Project grading guideline|القواعد الإرشادية لعلامات المشروع|Project grading guideline
Project Name|اسم المشروع|Project Name
Project not found|لم يتم العثور على المشروع|Project not found
Project removed successfully|تم حذف المشروع بنجاح|Project removed successfully
Project Saved Successfully|تم حفظ المشروع بنجاح|Project Saved Successfully
Projects|المشاريع|Projects
Publication|النشر|Publication
Publication Count|عدد النشر|Publication Count
Publication in Conference Proceedings|نشر وقائع المؤتمر|Publication in Conference Proceedings
Publication in ISI Journals|النشر في مجلات ISI|Publication in ISI Journals
Publish Date|تاريخ النشر|Publish Date
Publish Type|نوع النشر|Publish Type
Published In|النشر في|Published In
Publisher|الناشر|publisher
Push to AIMS|الارتباط مع AIMS|Push to AIMS
